example_id                                                         | status | run_time        |
./spec/queries/warcraft_logs/performance_query_spec.rb[1:3:2:1]    | passed | 0.00179 seconds |
./spec/queries/warcraft_logs/performance_query_spec.rb[1:4:1:1]    | passed | 0.00294 seconds |
./spec/queries/warcraft_logs/performance_query_spec.rb[1:4:2:1]    | passed | 0.00056 seconds |
./spec/queries/warcraft_logs/performance_query_spec.rb[1:4:3:1]    | passed | 0.00197 seconds |
./spec/queries/warcraft_logs/performance_query_spec.rb[1:5:1:1]    | passed | 0.00083 seconds |
./spec/queries/warcraft_logs/performance_query_spec.rb[1:5:2:1]    | passed | 0.0021 seconds  |
./spec/queries/warcraft_logs/performance_query_spec.rb[1:6:1]      | passed | 0.00096 seconds |
./spec/queries/warcraft_logs/performance_query_spec.rb[1:7:1]      | passed | 0.0007 seconds  |
./spec/queries/warcraft_logs/performance_query_spec.rb[1:7:2]      | passed | 0.0006 seconds  |
./spec/queries/warcraft_logs/performance_query_spec.rb[1:7:3]      | passed | 0.00068 seconds |
./spec/queries/warcraft_logs/performance_query_spec.rb[1:8:1]      | passed | 0.00078 seconds |
./spec/queries/warcraft_logs/report_query_spec.rb[1:1:1:1]         | failed | 1.76 seconds    |
./spec/queries/warcraft_logs/report_query_spec.rb[1:1:2:1]         | failed | 0.00198 seconds |
./spec/queries/warcraft_logs/report_query_spec.rb[1:2:1:1]         | passed | 0.0021 seconds  |
./spec/queries/warcraft_logs/report_query_spec.rb[1:2:1:2]         | passed | 0.00169 seconds |
./spec/queries/warcraft_logs/report_query_spec.rb[1:2:2:1]         | passed | 0.02373 seconds |
./spec/queries/warcraft_logs/report_query_spec.rb[1:2:3:1]         | passed | 0.0022 seconds  |
./spec/queries/warcraft_logs/report_query_spec.rb[1:3:1:1]         | passed | 0.00589 seconds |
./spec/queries/warcraft_logs/report_query_spec.rb[1:3:2:1]         | passed | 0.01598 seconds |
./spec/queries/warcraft_logs/report_query_spec.rb[1:4:1:1]         | failed | 5.24 seconds    |
./spec/queries/warcraft_logs/report_query_spec.rb[1:4:2:1]         | failed | 0.00199 seconds |
./spec/queries/warcraft_logs/report_query_spec.rb[1:5:1:1]         | failed | 0.00168 seconds |
./spec/queries/warcraft_logs/report_query_spec.rb[1:5:2:1]         | passed | 0.00167 seconds |
./spec/queries/warcraft_logs/report_query_spec.rb[1:5:3:1]         | passed | 0.00168 seconds |
./spec/queries/warcraft_logs/report_query_spec.rb[1:5:4:1]         | failed | 0.00173 seconds |
./spec/queries/warcraft_logs/report_query_spec.rb[1:6:1:1]         | failed | 0.00159 seconds |
./spec/queries/warcraft_logs/report_query_spec.rb[1:6:2:1]         | passed | 0.00161 seconds |
./spec/queries/warcraft_logs/report_query_spec.rb[1:6:3:1]         | failed | 0.00163 seconds |
./spec/queries/warcraft_logs/report_query_spec.rb[1:7:1]           | failed | 0.00074 seconds |
./spec/queries/warcraft_logs/report_query_spec.rb[1:7:2]           | failed | 0.00072 seconds |
./spec/queries/warcraft_logs/report_query_spec.rb[1:8:1:1]         | failed | 0.0056 seconds  |
./spec/queries/warcraft_logs/report_query_spec.rb[1:8:2:1]         | passed | 0.0008 seconds  |
./spec/queries/warcraft_logs/report_query_spec.rb[1:9:1:1]         | failed | 0.00071 seconds |
./spec/queries/warcraft_logs/warcraft_logs_client_spec.rb[1:1:1]   | passed | 0.00058 seconds |
./spec/queries/warcraft_logs/warcraft_logs_client_spec.rb[1:2:1:1] | passed | 0.00105 seconds |
./spec/queries/warcraft_logs/warcraft_logs_client_spec.rb[1:2:2:1] | passed | 0.00111 seconds |
./spec/queries/warcraft_logs/warcraft_logs_client_spec.rb[1:3:1:1] | passed | 0.00175 seconds |
./spec/queries/warcraft_logs/warcraft_logs_client_spec.rb[1:3:1:2] | passed | 0.0018 seconds  |
./spec/queries/warcraft_logs/warcraft_logs_client_spec.rb[1:3:2:1] | passed | 0.00051 seconds |
./spec/queries/warcraft_logs/warcraft_logs_client_spec.rb[1:3:3:1] | passed | 0.00155 seconds |
./spec/queries/warcraft_logs/warcraft_logs_client_spec.rb[1:4:1:1] | passed | 0.00065 seconds |
./spec/queries/warcraft_logs_spec.rb[1:1:1]                        | passed | 0.00044 seconds |
./spec/queries/warcraft_logs_spec.rb[1:1:2]                        | passed | 0.00075 seconds |
./spec/queries/warcraft_logs_spec.rb[1:1:3]                        | passed | 0.00046 seconds |
./spec/queries/warcraft_logs_spec.rb[1:1:4]                        | passed | 0.00051 seconds |
./spec/queries/warcraft_logs_spec.rb[1:2:1]                        | passed | 0.00042 seconds |
./spec/queries/warcraft_logs_spec.rb[1:2:2]                        | passed | 0.00044 seconds |
./spec/queries/warcraft_logs_spec.rb[1:2:3]                        | passed | 0.00046 seconds |
./spec/queries/warcraft_logs_spec.rb[1:3:1]                        | passed | 0.00134 seconds |
./spec/queries/warcraft_logs_spec.rb[1:3:2]                        | passed | 0.00062 seconds |
./spec/queries/warcraft_logs_spec.rb[1:4:1]                        | passed | 0.00049 seconds |
./spec/queries/warcraft_logs_spec.rb[1:4:2]                        | passed | 0.00093 seconds |
./spec/queries/warcraft_logs_spec.rb[1:5:1]                        | passed | 0.00075 seconds |
./spec/queries/warcraft_logs_spec.rb[1:6:1]                        | passed | 0.00049 seconds |
./spec/queries/warcraft_logs_spec.rb[1:6:2]                        | passed | 0.00054 seconds |
./spec/queries/warcraft_logs_spec.rb[1:7:1]                        | passed | 0.00088 seconds |
./spec/queries/warcraft_logs_spec.rb[1:8:1]                        | passed | 0.001 seconds   |
